,10,25,50,75,lossless
min,51.93823131417655,36.92987343787312,16.35731179758166,-3.228701041891682,-862.8843655262024
1st quantile,72.80984742728018,60.97238532780173,43.34956497073086,26.41347979982197,-438.21164436911045
mean,77.69688994627916,68.96575952967038,55.196817041632556,41.58302789569268,-194.63639829120518
median,76.23892353134231,66.59460757821412,50.538243626062325,34.3901714059249,-379.3608521970706
3rd quantile,79.37615834419226,71.20198443330489,57.61669387846391,43.75158483938729,-303.63990928880025
max,94.73411626876974,93.026941362916,93.026941362916,93.026941362916,96.06124604012672
